entry_name,path,user_type,purpose,current_usability,dependencies,notes
Project State Baseline,docs/repo_state.json,both,"Project-level module/observable definitions and expected run artifacts","high","None (pure JSON spec)","Used by scripts/update_context.ps1 to build context bundles"
Context Bundle (minimal),docs/context_bundle.json,agent,"Machine-readable semantic handoff for agents/tasks","high","scripts/update_context.ps1; claims/*.json exist","Includes reduced claim summaries only; evidence chain lives in claims files"
Context Bundle (extended),docs/context_bundle_full.json,agent,"More complete semantic handoff (extended model semantics)","medium","scripts/update_context.ps1; claims/*.json exist","Recommended for richer ChatGPT/analysis context"
Agent Gate Doc,docs/AGENT_ENTRYPOINT.md,agent,"Minimal entry instruction for agents","medium","docs/context_bundle.json exists","Very short; does not explain evidence navigation or snapshot selection"
Agent Behavior & Output Policy,docs/AGENT_RULES.md,both,"Safety constraints for agents and standardized output behavior","high","Readable documentation only","Controls where outputs go and how policies are applied"
Context Bundle Generator,scripts/update_context.ps1,agent,"Regenerate docs/context_bundle*.json from repo state + claims","high","PowerShell; JSON on disk","Run Snapshot workflow also calls this script"
System Registry (active modules),docs/system_registry.json,both,"Authoritative module classification and active_modules set","high","None (pure JSON)","Referenced by repo policies; helps decide what “counts as active”"
Claim Catalog - per claim JSON,claims/<claim_id>.json,both,"Explicit scientific claim + evidence pointers (reports + runs)","high","claims folder populated","Evidence pointers exist under claims/<claim_id>.json -> evidence.reports/evidence.runs"
Claim Layer Tool (list claims),tools/claims/list_claims.m,human,"List and inspect claim metadata in a MATLAB-friendly table","medium","MATLAB + claims/*.json","Discovery helper; does not resolve runs/paths automatically"
Run Manifest Loader,tools/load_run_manifest.m,agent,"Load and parse run_manifest.json for a run directory or a manifest file path","high","A run directory containing run_manifest.json","Needed to extract run identity/provenance when you have a run path"
Run Discovery (manifest + filesystem scan),tools/list_runs.m,human,"Enumerate run folders for an experiment and read run_manifest.json metadata","high","results/<experiment>/runs/* exists","Use per experiment; no cross-experiment run_id locator"
Latest Run Opener,tools/openLatestRun.m,human,"Open the newest run folder for an experiment","medium","results/<experiment>/runs/* exists","“Latest” is by folder name, not by review/approval status"
Run-level Artifact Layout,results/README.md,both,"Canonical run-root summary/index and output subfolders","high","Run roots conform to docs/results_system.md","Good human entrypoint for where evidence lives"
Run System Spec (run context + registries),docs/run_system.md,both,"Documented expectations for run metadata and run registries","medium","results dirs follow current system","Mentions run_index.csv/latest_run.txt which are not present in this workspace"
Results Output Spec (run root files and folders),docs/results_system.md,both,"Authoritative specification for run folder layout and required metadata files","high","Run generators write run-scoped outputs","Defines run_manifest.json, config_snapshot.m, log.txt, run_notes.txt and subfolders"
Observables Exchange (export),tools/export_observables.m,agent,"Standardize run-root observables.csv schema","high","MATLAB; caller provides a table","Creates observables.csv at run root"
Observables Aggregation (load),tools/load_observables.m,agent,"Aggregate observables.csv across runs into one table","high","MATLAB; run roots contain observables.csv","Best for cross-run knowledge extraction"
Run Review Manifest Generator,tools/run_review/generate_run_review_manifests.m,agent,"Create missing run_review.json manifests based on reports/legacy heuristics","low","results/*/runs exist; run_review.json currently missing","In this workspace, results/**/run_review.json was not found, so surveys can’t be regenerated reliably"
Rolling Survey Builder,tools/survey_builder/build_rolling_surveys.m,both,"Generate/update surveys/*/rolling_survey.md from approved reviews + claims","low","surveys/registry.json; run_review.json present; claims/*.json","Currently blocked if run_review.json manifests are missing"
Survey Registry,surveys/registry.json,both,"Registry of rolling surveys to build/update","medium","surveys/* content exists","Used by rolling survey builder"
Run Review Audit & Packaging,tools/run_review_audit.ps1,agent,"Scan run review readiness; generate audit markdown and a ZIP package","medium","PowerShell; results tree exists","Outputs run_review_audit_report.md and a run_review_audit_package.zip under an audit run folder"
Repository Navigation Map,docs/repository_map.md,human,"Top-level map of repository zones and the current agent context workflow","high","Docs are in repo","Helpful for discovery of where systems live"
Snapshot System Map,docs/snapshot_system_map.md,both,"Explains snapshot packaging layout and what content is inside core zips","medium","snapshot created using scripts/run_snapshot.ps1","Reduces guesswork about what snapshot artifacts contain"
Snapshot Packaging (full),scripts/run_snapshot.ps1,external_share,"Create snapshot_repo.zip for offline agent/human use","medium","Windows/PowerShell; output path reachable; repo scripts run","Also runs update_context.ps1 and snapshot_simple builders"
Snapshot Packaging (simple),scripts/build_snapshot_simple.ps1,external_share,"Create smaller snapshot_* zip bundles + copies context bundle JSON","medium","PowerShell; output path reachable; results dirs exist","Simpler payload for humans; less aligned with planned smart runpack bundles"
Snapshot Smart Layer Indices,snapshot_scientific_v3/00_entrypoints/quick_start.json,both,"Deterministic navigation protocol across claim/analysis/run evidence (index-first)","medium","snapshot_scientific_v3 indices exist","Control-plane indices exist; referenced runpack ZIP payloads are not present here"
Run Summary Writer (report helper),tools/save_run_report.m,agent,"Save run-local narrative summaries into the canonical run reports/ folder","high","MATLAB + active run context","Used to create run-local evidence narrative files"

