target,candidate_name,scaling_family,scaling_variable,transformation_used,fixed_Tc_or_T0,tested_in_18C,n_used,alpha,LOOCV_RMSE,beats_T_linear,beats_best_T_baseline,endpoint_stable,exponent_stable,empirical_scaling_supported,physical_scaling_supported,notes
A_obs_canon,T_power,T_power,"1,log(T)",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,na,YES,15,6.51579483e-1,0.000003189163656125945,NO,NO,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,NO,NO,beats_best_T_baseline from AX-18C scaling_law_comparison; best simple T baseline is T_linear (judgement)
A_obs_canon,Xeff_power,Xeff_power,"1,log(Xeff_chosen)",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,na,YES,15,6.60588285e-1,0.000002366876796367198,NO,NO,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,NO,NO,LOOCV worse than T_linear; empirical_fit_only_not_physical_law in source
A_obs_canon,invD_power,invD_power,"1,log(invD_chosen)",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,na,YES,15,5.62460847e-1,0.0000013780575055242083,YES,YES,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,YES,NO,Alpha 0.562460847 (5.62460847e-1); best LOOCV among scaling rows for this target per AX-18C
A_obs_canon,absT_minus_23K,absT_minus_23K,"1,log(abs(T-23))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,Tc_fixed,YES,15,-5.96111934e-2,0.004386102773163265,NO,NO,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,NO,NO,Fixed Tc=23 K; catastrophic vs T_linear on LOOCV
A_obs_canon,absT_minus_25K,absT_minus_25K,"1,log(abs(T-25))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,Tc_fixed,YES,15,-6.26850692e-2,0.010694271849231229,NO,NO,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,NO,NO,Fixed Tc=25 K
A_obs_canon,absT_minus_31.5K,absT_minus_31.5K,"1,log(abs(T-31.5))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,Tc_fixed,YES,15,-3.67438730e-1,0.000021666217610374845,NO,NO,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,NO,NO,Fixed Tc=31.5 K (domain edge context)
A_obs_canon,shifted_T_minus_0K,shifted_T_minus_0K,"1,log(max(T-0,eps))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,0K,YES,15,6.51579483e-1,0.000003189163656125945,NO,NO,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,NO,NO,Equivalent exponent to T_power in table (log T vs log max(T-0))
A_obs_canon,shifted_T_minus_3K,shifted_T_minus_3K,"1,log(max(T-3,eps))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,3K,YES,15,7.74751434e-2,0.000007442687628153698,NO,NO,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,NO,NO,Fixed T0=3 K
A_obs_canon,shifted_T_minus_5K,shifted_T_minus_5K,"1,log(max(T-5,eps))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,5K,YES,15,3.08919458e-2,0.000007437825809565162,NO,NO,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,NO,NO,Fixed T0=5 K
A_svd_full_oriented_candidate,T_power,T_power,"1,log(T)",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,na,YES,15,6.47099260e-1,0.00005459657825975734,NO,NO,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,NO,NO,beats T_linear? NO per beats_best_T_baseline
A_svd_full_oriented_candidate,Xeff_power,Xeff_power,"1,log(Xeff_chosen)",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,na,YES,15,6.55531746e-1,0.00004065508670422476,NO,NO,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,NO,NO,
A_svd_full_oriented_candidate,invD_power,invD_power,"1,log(invD_chosen)",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,na,YES,15,5.58279495e-1,0.000023610554970423528,YES,YES,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,YES,NO,Alpha 0.558279495 (5.58279495e-1); best LOOCV among scaling rows for this target
A_svd_full_oriented_candidate,absT_minus_23K,absT_minus_23K,"1,log(abs(T-23))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,Tc_fixed,YES,15,-5.89502786e-2,0.0717787251998914,NO,NO,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,NO,NO,
A_svd_full_oriented_candidate,absT_minus_25K,absT_minus_25K,"1,log(abs(T-25))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,Tc_fixed,YES,15,-6.22216261e-2,0.17406725710254156,NO,NO,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,NO,NO,
A_svd_full_oriented_candidate,absT_minus_31.5K,absT_minus_31.5K,"1,log(abs(T-31.5))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,Tc_fixed,YES,15,-3.64175475e-1,0.0003700380128140754,NO,NO,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,NO,NO,
A_svd_full_oriented_candidate,shifted_T_minus_0K,shifted_T_minus_0K,"1,log(max(T-0,eps))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,0K,YES,15,6.47099260e-1,0.00005459657825975734,NO,NO,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,NO,NO,
A_svd_full_oriented_candidate,shifted_T_minus_3K,shifted_T_minus_3K,"1,log(max(T-3,eps))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,3K,YES,15,7.74615984e-2,0.00012697009574372982,NO,NO,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,NO,NO,
A_svd_full_oriented_candidate,shifted_T_minus_5K,shifted_T_minus_5K,"1,log(max(T-5,eps))",loglog_fit_pred_backtransform_exp_to_A_space_LOOCV,5K,YES,15,3.07543532e-2,0.0001269131179797373,NO,NO,NOT_RECORDED_IN_AX_18C,NOT_RECORDED_IN_AX_18C,NO,NO,
