flag,value
REPO_INFRA_01B_TASK_COMPLETED,YES
RELAXATION_ONLY_POLICY_FOUND,YES
RELAXATION_ONLY_POLICY_SCOPE_TOO_NARROW,YES
RELAXATION_ONLY_POLICY_SUPERSEDED,YES
RELAXATION_ONLY_ARTIFACTS_DELETED,NO
RELAXATION_ONLY_ARTIFACTS_INVALIDATED,NO
POLICY_APPLIES_ALL_MODULES,YES
REPO_DEFAULT_SCIENTIFIC_LANGUAGE_MATLAB,YES
NON_MATLAB_ALLOWED_AS_TABLE_ACCELERATOR,YES
NON_MATLAB_ALLOWED_FOR_FIGURES,NO unless explicitly approved
MATLAB_MANDATORY_FOR_SCIENTIFIC_FIGURES,YES
FIGURE_OUTPUTS_FIG_AND_PNG,YES
NON_MATLAB_REQUIRES_PARITY_FOR_DERIVATIVES_SMOOTHING_FITS_TIMEWARP,YES
NON_MATLAB_REQUIRES_PARITY_FOR_RECONSTRUCTION_DECOMPOSITION_MODEL_SELECTION,YES
NON_MATLAB_RESULTS_AUTOMATICALLY_INVALIDATED,NO
NON_MATLAB_RESULTS_PROVISIONAL_UNTIL_PARITY,YES
FUTURE_PROMPT_BLOCK_WRITTEN,YES
NO_EXISTING_ARTIFACTS_EDITED,YES
NO_FIGURES_CREATED,YES
NO_SCIENTIFIC_RERUN,YES
NO_STAGE_COMMIT_PUSH,YES
ASCII_ARTIFACTS_ONLY,YES
