key,value
TASK_COMPLETED,YES
AUDIT_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
FILES_MODIFIED,"reports/maintenance/switching_identity_resolver_F01A_audit.md;tables/maintenance_switching_identity_resolver_F01A_evidence.csv;tables/maintenance_switching_identity_resolver_F01A_options.csv;tables/maintenance_switching_identity_resolver_F01A_status.csv"
STAGED,NO
COMMITTED,NO
PUSHED,NO
SWITCHING_SCOPE_ONLY,YES
TRIAGE_F01_FOUND,YES
SWITCHING_CANONICAL_IDENTITY_FILE_EXISTS,YES
SWITCHING_CANONICAL_IDENTITY_FILE_TRACKED,NO
IDENTITY_PRESENT_CLAIM_FOUND,YES
IDENTITY_MISSING_OR_DOWNGRADED_CLAIM_FOUND,YES
LOCKED_IDENTITY_BEHAVIOR_FOUND,YES
LATEST_RESOLUTION_BEHAVIOR_FOUND,YES
CORRECTED_OLD_IDENTITY_BEHAVIOR_FOUND,YES
RUN_ROOT_IDENTITY_BEHAVIOR_FOUND,YES
CONTRADICTION_CONFIRMED,YES
CONTRADICTION_TYPE,"documentation_status_and_git_policy_and_resolver_conditional"
CODE_CHANGE_RECOMMENDED_NOW,NO
GOVERNANCE_DECISION_REQUIRED,YES
SAFE_TO_STAGE_AUDIT_OUTPUTS,YES
SAFE_TO_COMMIT_AUDIT_OUTPUTS,YES
