FILE,POST_ROLLBACK_STATUS,IN_CANONICAL_RUNTIME_BOUNDARY,PRESERVATION_STATUS,RUNTIME_CONTAMINATION_RISK,REASON,EVIDENCE_BASIS
"(batch) 28 paths: partial rollback (5) + final rollback (23) per execution logs",CLEAN,NO,ROLLED_BACK,NONE,"All listed REVERT targets verified: git diff HEAD empty for each path; working tree matches tree at e1506a4 for those blobs.","git diff HEAD -- <each path>; rollback_execution_log.csv; final_rollback_execution_log.csv; final_rollback_execution_status.csv."
docs/repo_context_infra.md,PRESERVED,NO,DEFER_PRESERVE,NONE,"Documentation only; outside MATLAB dependency closure; governance residue.","manual_review_resolution.csv; canonical_boundary_truth.csv."
docs/repo_context_minimal.md,PRESERVED,NO,DEFER_PRESERVE,NONE,"Documentation only.","manual_review_resolution.csv."
docs/repo_map.md,PRESERVED,NO,DEFER_PRESERVE,NONE,"Documentation only.","manual_review_resolution.csv."
docs/templates/,PRESERVED,NO,DEFER_PRESERVE,LOW,"Directory not audited file-by-file; low risk to canonical MATLAB run if templates not invoked by entrypoint.","manual_review_resolution.csv."
tables/CANONICAL_ANALYSIS_COMPLETE.txt,PRESERVED,UNCERTAIN,DEFER_PRESERVE,NONE,"Deletion retained per defer; not runtime code.","boundary_breach_inventory.csv; manual_review_resolution.csv."
tables/phi_kappa_canonical_verdict.csv,PRESERVED,UNCERTAIN,DEFER_PRESERVE,NONE,"Deletion retained; governance artifact state ambiguous.","manual_review_resolution.csv."
tables/phi_kappa_stability_canonical_status.csv,PRESERVED,UNCERTAIN,DEFER_PRESERVE,NONE,"Deletion retained.","manual_review_resolution.csv."
tables/phi_kappa_stability_canonical_summary.csv,PRESERVED,UNCERTAIN,DEFER_PRESERVE,NONE,"Deletion retained.","manual_review_resolution.csv."
tables/runtime_execution_markers_fallback.txt,PRESERVED,NO,DEFER_PRESERVE,LOW,"Evidence file for REPO_TABLES_FALLBACK_WRITE; not loaded by canonical closure; policy signal only at runtime if write_execution_marker falls back.","canonical_boundary_violations_truth.csv; manual_review_resolution.csv."
tables/ (bulk legacy deletions aggregate),PRESERVED,NO,DEFER_PRESERVE,HIGH,"Retention policy unresolved; not a single runtime file; risk is repo hygiene not MATLAB closure.","manual_review_resolution.csv."
tools/classify_run_status.m,PRESERVED,NO,DEFER_PRESERVE,MEDIUM,"Deferred tooling; could affect automation if invoked; not in MATLAB closure.","manual_review_resolution.csv; canonical_boundary_truth.csv."
tools/enforce_canonical_phi1_source.m,PRESERVED,NO,DEFER_PRESERVE,MEDIUM,"Deferred governance-adjacent script.","manual_review_resolution.csv."
tools/ensure_dir.m,PRESERVED,NO,DEFER_PRESERVE,MEDIUM,"Shared utility; deferred.","manual_review_resolution.csv."
tools/get_run_status_value.m,PRESERVED,NO,DEFER_PRESERVE,MEDIUM,"Deferred tooling.","manual_review_resolution.csv."
tools/getLatestRun.m,PRESERVED,NO,DEFER_PRESERVE,MEDIUM,"Deferred tooling; results discovery.","manual_review_resolution.csv."
tools/load_observables.m,PRESERVED,NO,DEFER_PRESERVE,MEDIUM,"Deferred loader.","manual_review_resolution.csv."
tools/load_run.m,PRESERVED,NO,DEFER_PRESERVE,MEDIUM,"Deferred loader.","manual_review_resolution.csv."
tools/resolve_results_input_dir.m,PRESERVED,NO,DEFER_PRESERVE,MEDIUM,"Deferred path resolution for results.","manual_review_resolution.csv."
tools/run_artifact_path.m,PRESERVED,NO,DEFER_PRESERVE,MEDIUM,"Deferred helper.","manual_review_resolution.csv."
tools/switching_canonical_control_scan.ps1,PRESERVED,NO,DEFER_PRESERVE,MEDIUM,"PS1 scan; not on MATLAB closure path for run_switching_canonical.m.","manual_review_resolution.csv."
tools/switching_canonical_run_closure.m,PRESERVED,NO,DEFER_PRESERVE,MEDIUM,"MATLAB helper deferred; not in 16-file closure list.","manual_review_resolution.csv."
Switching/analysis/run_switching_canonical.m,UNRESOLVED,YES,NOT_APPLICABLE,NONE,"Authoritative entrypoint per boundary truth; file is untracked vs git HEAD—committed baseline does not yet include it; not out-of-scope script drift.","git status; canonical_boundary_truth.csv."
tools/write_execution_marker.m,UNRESOLVED,YES,NOT_APPLICABLE,MEDIUM,"In closure; untracked vs HEAD; known tables fallback behavior per violations table.","git status; canonical_boundary_truth.csv; canonical_boundary_violations_truth.csv."
Aging/utils/createRunContext.m,UNRESOLVED,YES,NOT_APPLICABLE,LOW,"In closure; local modifications vs HEAD remain (KEEP path during rollback)—not reverted.","git diff HEAD; canonical_boundary_truth.csv."
Switching ver12/main/Switching_main.m,UNRESOLVED,YES,NOT_APPLICABLE,LOW,"In closure; local modifications vs HEAD remain.","git diff HEAD; canonical_boundary_truth.csv."
Switching ver12/getFileListSwitching.m,CLEAN,YES,NOT_APPLICABLE,NONE,"Matches HEAD; core closure file.","git diff HEAD; canonical_boundary_truth.csv."
Switching ver12/parsing/extract_dep_type_from_folder.m,CLEAN,YES,NOT_APPLICABLE,NONE,"Matches HEAD.","git diff HEAD."
Switching ver12/parsing/extractPulseSchemeFromFolder.m,CLEAN,YES,NOT_APPLICABLE,NONE,"Matches HEAD.","git diff HEAD."
Switching ver12/parsing/extract_num_of_pulses_from_name.m,CLEAN,YES,NOT_APPLICABLE,NONE,"Matches HEAD.","git diff HEAD."
Switching ver12/parsing/extract_delay_between_pulses_from_name.m,CLEAN,YES,NOT_APPLICABLE,NONE,"Matches HEAD.","git diff HEAD."
General ver2/resolve_preset.m,CLEAN,YES,NOT_APPLICABLE,NONE,"Matches HEAD.","git diff HEAD."
General ver2/select_preset.m,CLEAN,YES,NOT_APPLICABLE,NONE,"Matches HEAD.","git diff HEAD."
General ver2/extract_preset_from_filename.m,CLEAN,YES,NOT_APPLICABLE,NONE,"Matches HEAD.","git diff HEAD."
Switching ver12/main/processFilesSwitching.m,CLEAN,YES,NOT_APPLICABLE,NONE,"Matches HEAD.","git diff HEAD."
General ver2/resolve_norm_indices.m,CLEAN,YES,NOT_APPLICABLE,NONE,"Matches HEAD.","git diff HEAD."
Switching ver12/main/analyzeSwitchingStability.m,CLEAN,YES,NOT_APPLICABLE,NONE,"Matches HEAD.","git diff HEAD."
Switching ver12/resolveNegP2P.m,CLEAN,YES,NOT_APPLICABLE,NONE,"Matches HEAD.","git diff HEAD."
