artifact_path,artifact_role,in_minimal_durable_set,decision,force_add_required,docs_summary_required,left_ignored,recommended_gitignore_exception_line,justification
docs/switching_analysis_map.md,Namespace contract and claim boundary source,YES,TRACK_DIRECTLY,NO,NO,NO,,Core anti-confusion contract must be directly versioned.
docs/templates/switching_analysis_namespace_header.md,Operational header template enforcing namespace declarations,YES,TRACK_DIRECTLY,NO,NO,NO,,Required guardrail for future reports/scripts.
tables/switching_old_new_namespace_source_of_truth_map.csv,Machine-readable old-vs-new source-of-truth map,YES,TRACK_WITH_EXCEPTION,YES,NO,NO,!tables/switching_old_new_namespace_source_of_truth_map.csv,Compact authoritative namespace map with highest replay value.
tables/switching_analysis_classification_status.csv,Compact classification verdict status keys,YES,TRACK_WITH_EXCEPTION,YES,NO,NO,!tables/switching_analysis_classification_status.csv,Carries key mixed-producer and quarantine verdict flags in low-noise form.
tables/switching_old_recipe_verification_status.csv,Compact old-recipe verification status keys,YES,TRACK_WITH_EXCEPTION,YES,NO,NO,!tables/switching_old_recipe_verification_status.csv,Preserves old-template branch semantics and contamination verdicts.
tables/switching_governance_artifact_persistence_status.csv,Persistence state inventory (tracked/ignored/stage-ready),NO,SUMMARIZE_IN_DOCS,NO,YES,YES,,Useful operational audit detail but not strictly required as durable core if summary is tracked.
reports/switching_old_vs_new_canonical_confusion_persistence_audit.md,Long-form persistence audit narrative,NO,SUMMARIZE_IN_DOCS,NO,YES,YES,,Keep concise durable facts in a tracked docs manifest to reduce report churn.
tables/switching_analysis_classification_inventory.csv,Detailed script/artifact classification inventory,NO,LEAVE_IGNORED,NO,NO,YES,,High-detail table can remain local if core status and map are tracked.
tables/switching_canonical_script_output_classification.csv,Detailed output-level classification table,NO,LEAVE_IGNORED,NO,NO,YES,,Detailed breakdown not minimal once status/map are durable.
tables/switching_misleading_or_dangerous_artifacts.csv,Detailed quarantine catalog,NO,SUMMARIZE_IN_DOCS,NO,YES,YES,,Track compact quarantine verdict summary in docs manifest; leave full evolving list ignored.
tables/switching_corrected_old_artifact_gap_status.csv,Detailed corrected-old artifact gap tracker,NO,SUMMARIZE_IN_DOCS,NO,YES,YES,,Gap conclusion should be in tracked docs summary even if full status table stays ignored.
reports/switching_analysis_classification_and_canonical_ambiguity_audit.md,Detailed ambiguity narrative report,NO,LEAVE_IGNORED,NO,NO,YES,,Narrative is high-churn; durable verdicts already preserved by status/map/docs.
reports/switching_old_recipe_and_attempted_output_verification.md,Detailed verification narrative report,NO,LEAVE_IGNORED,NO,NO,YES,,Narrative can remain local when status verdict table is tracked.
docs/switching_governance_persistence_manifest.md,Proposed single durable governance snapshot,YES,CREATE_AND_TRACK_RECOMMENDED,NO,NO,NO,,Recommended new tracked manifest to hold non-negotiable anti-confusion facts and pointers.
