status_key,status_value,details
QUALITY_METRICS_CLOSURE_COMPLETE,YES,"Inventory, reconstruction matrix, consistency checks, per-T metrics, QA manifest, diagnostic PNGs, and closure report delivered."
SWITCHING_ONLY,YES,"No Relaxation or Aging cross-analysis."
METRICS_ONLY,YES,"No new backbone/residual/phi/kappa maps written; only recomputed scalars and QA views from existing authoritative CSVs."
NO_NEW_PHYSICS_RECONSTRUCTION,YES,"Authoritative tables unchanged; no builder rerun."
NO_PUBLICATION_FIGURES_CREATED,YES,"Outputs confined to diagnostics/corrected_old_task002_quality_QA and labeled non-publication."
DIAGNOSTIC_QA_FIGURES_CREATED,YES,"Four PNG panels saved under figures/switching/diagnostics/corrected_old_task002_quality_QA/."
QA_FIGURES_PNG_ONLY,YES,"No FIG or PDF exports from the closure driver."
QA_FIGURES_FROM_AUTHORITATIVE_TABLES_ONLY,YES,"Plots read only switching_corrected_old_authoritative_* CSVs in tables/."
QA_FIGURES_MANIFEST_WRITTEN,YES,"tables/switching_corrected_old_quality_metrics_visual_QA_manifest.csv"
AUTHORITATIVE_CORRECTED_OLD_TABLES_USED,YES,"Backbone; residual; mode1; residual_after_mode1; phi1; kappa1; quality_metrics."
MIXED_CANONICAL_DIAGNOSTICS_USED,NO,"No canonical PT/CDF/mixed phi columns used as evidence."
QUARANTINED_ARTIFACTS_USED,NO,"Quarantined corrected-old replay paths not read."
OLD_FIGURES_USED_AS_DATA,NO,"No PNGs or legacy figures ingested as numeric inputs."
OLD_QUALITY_METRICS_MAPPED,PARTIAL,"Legacy residual_decomposition_quality.csv not present in workspace; mapping completed from switching_residual_decomposition_analysis.m and run_registry references plus program docs."
QUALITY_METRICS_RECONSTRUCTION_MATRIX_WRITTEN,YES,"tables/switching_corrected_old_quality_metrics_reconstruction_matrix.csv"
BACKBONE_RESIDUAL_IDENTITY_PASSED,YES,"CHK001 pass per consistency table."
MODE1_RECONSTRUCTION_IDENTITY_PASSED,YES,"CHK002 pass on finite mode1 rows."
RESIDUAL_AFTER_MODE1_IDENTITY_PASSED,YES,"CHK003 pass on finite mode1 rows."
RMSE_METRICS_REPRODUCED,YES,"CHK004–CHK006 pass; file strings rounded vs full double replay within relative tolerance."
SVD_EXPLAINED_VARIANCE_REPRODUCED,PARTIAL,"CHK007 not_applicable without alignedResidual matrix export; trust authoritative scalar."
PER_T_QUALITY_METRICS_NEEDED,PARTIAL,"Optional for crossover/asymmetry/T22 interpretation; not a global blocker for parity bridge."
PER_T_QUALITY_METRICS_WRITTEN,YES,"tables/switching_corrected_old_quality_metrics_by_T.csv"
QUALITY_LAYER_BLOCKS_DOWNSTREAM,NO,"Identities and RMSE checks pass; no new gate failure introduced."
SAFE_TO_PROCEED_TO_NEXT_RECONSTRUCTION_TASK,YES,"Program next dependency after TASK_001 was quality understanding; parity bridge (program TASK_002 id) may proceed with authoritative tables unchanged."
SAFE_TO_CREATE_PUBLICATION_FIGURES,PARTIAL,"Unchanged from reconstruction program; QA figures do not authorize publication."
NEW_BACKBONE_RESIDUAL_PHI_KAPPA_MAPS_WRITTEN,NO,"No new authoritative map CSVs."
PHYSICS_LOGIC_CHANGED,NO,"Builder not edited."
FILES_DELETED,NO,"No deletions or renames."
PROGRAM_TASK_ID_NOTE,PARTIAL,"User-requested TASK_002 label here maps to quality closure; tables/switching_missing_reconstruction_tasks.csv still lists TASK_002 as backbone parity bridge—reconcile naming in future governance edit if desired."
