field_name,field_scope,required_for_script_classes,value_type,allowed_values_or_format,default_if_missing,enforcement_after_phase2,mapped_taxonomy_or_registry_row,notes
semantic_family_id,ALL_MATLAB_PS1_REPORTS,REQUIRED,string,taxonomy semantic_family_id from switching_semantic_taxonomy.csv,UNKNOWN_WARN,WARN_then_HARD_FAIL_ON_AUTHORITY_WRITE,tables/switching_semantic_taxonomy.csv,Primary Phase 2 join key for outputs.
namespace_id,ALL,REQUIRED,string,governance ids from switching_analysis_namespace_clean_map.csv,UNKNOWN_WARN,WARN,governance map,Must match narrative contract role when claiming manuscript evidence.
source_artifact,ALL_WRITERS,REQUIRED,path_or_glob,repo-relative paths or registry item_name,n/a,WARN,REG001 style paths,Declare concrete CSV MAT md targets intended read or write.
source_commit_or_run,PHYSICS_AND_REPLAY,RECOMMENDED,string,git_sha_optional plus run_id or run_dir pointer,SOURCE_UNKNOWN,WARN,mixed producer rows,Anchor reproducibility for S-backed outputs.
source_column_class,MIXED_PRODUCER_AND_S_LONG,REQUIRED_IF_MIXED,enum,CANON_GEN_SOURCE | EXPERIMENTAL_PTCDF_DIAGNOSTIC | DIAGNOSTIC_MODE | UNKNOWN,MUST_DECLARE,WARN_then_HARD_FAIL_IF_MANUSCRIPT_WITHOUT_SPLIT,reports/switching_canonical_S_long_column_namespace.md,Mandatory for switching_canonical_S_long.csv claims.
lineage_id,MANUSCRIPT_AND_AUTHORITY,RECOMMENDED,string,lineage_id from artifact index or builder_status,n/a,WARN,tables/switching_corrected_old_authoritative_artifact_index.csv,Links outputs to authoritative package rows when applicable.
claim_level,ALL,REQUIRED,string enum,MANUSCRIPT_SAFE | DIAGNOSTIC | QUARANTINE | FIGURE_ONLY | AUDIT | INFRA | META,DIAGNOSTIC,WARN,allowed_use_matrix,Must align with semantic_family_id allowed columns.
lineage_id,AUTHORITY_WRITES,CONDITIONAL,string,registry lineage_requirement summary,n/a,HARD_FAIL_IF_MISSING_ON_AUTHORITY,switching_pre_replay_registry_contract.csv,Pair builder outputs with builder_status when claiming CORRECTED authority.
allowed_use,ALL,REQUIRED,text_short,pointer to taxonomy allowed_use cell or registry allowed_use,COPY_FROM_FAMILY,WARN,taxonomy CSV,Mirror governance forbidden promotion rules.
forbidden_use,ALL,REQUIRED,text_short,pointer to taxonomy forbidden_use or registry forbidden_use,COPY_FROM_FAMILY,WARN,taxonomy CSV,Especially PT/CDF mis-promotion lines.
stale_or_current_status,STATUS_AND_CLASSIFICATION_TOUCH,RECOMMENDED,enum,CURRENT | STALE_HISTORICAL | SUPERSESSION_NOTE_PENDING,CURRENT,SUGGEST,switching_analysis_classification_status.csv,Before existence claims from classification CSV.
supersession_reference,STALE_ROW_READERS,RECOMMENDED,path_or_key,reports/switching_stale_governance_supersession.md row or table key,READ_REQUIRED,SUGGEST,stale supersession report,Mandatory before interpreting AUTHORITATIVE_* NO legacy keys as present truth.
diagnostic_quarantine_flag,PTCDF_AND_QUARANTINE_SCRIPTS,REQUIRED_IF_DIAGNOSTIC,boolean,YES | NO,NO,WARN_if_PT_claim_without_YES,switching_semantic_forbidden_terms.csv,Must be YES when emitting EXPERIMENTAL PT/CDF as non-backbone.
manuscript_safe_flag,ALL_PUBLISHABLE_TOUCHPOINTS,REQUIRED_IF_PUBLIC,boolean,YES | NO | UNKNOWN,UNKNOWN,WARN,taxonomy manuscript_safe column,Must match semantic_family default unless gated exception documented.
replay_safe_flag,REPLAY_RUNNERS,RECOMMENDED,boolean,YES | NO,derive_from_family,WARN,taxonomy replay_safe column,Replay scripts must not assert new backbone derivation.
canonical_safe_flag,CANON_GEN_SOURCE_TOUCHES,CONDITIONAL,boolean,YES | NO | COLUMN_ONLY,NO,WARN,taxonomy canonical_safe column,YES only for S_percent column-class claims not whole mixed file.
mixed_producer_declaration,MIXED_OUTPUT_WRITERS,REQUIRED_IF_CANON_GEN_MIXED,boolean plus pointer,YES_table_switching_canonical_S_long_column_namespace,NO,WARN,taxonomy CANON_GEN_MIXED_PRODUCER,Emit explicit mixed-output warning block per template.
artifact_role,REGISTRY_ALIGNED_OUTPUTS,REQUIRED_FOR_AUTHORITY,enum per index,AUTHORITATIVE | DIAGNOSTIC | FIGURE_REPLAY | AUDIT,MUST_DECLARE,HARD_FAIL_ON_WRONG_ROLE,switching_pre_replay_writer_contract_template.csv,Align with artifact index vocabulary.
overwrite_policy,AUTH_TABLE_WRITES,RECOMMENDED,enum,APPEND_ONLY | REPLACE_SAME_RUN_ID | NO_SILENT_AUTHORITATIVE,ASK_OPERATOR,SOFT_FAIL_IN_GATE,writer template,Authoritative tables require explicit policy.
family_separation_block,ALL,RECOMMENDED,text,family_separation field from template,UNSPECIFIED,WARN,writer template,Never merge legacy_old corrected canonical_residual geocanon replay diagnostic without bridge task.
